,title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,loudness_norm,tempo_norm,key_norm,time_signature_norm,labels
330,戀愛達人,Show Luo,['Show Luo'],7yem27EktuPjs9JqYWCiZz,0.763,0.615,0,-6.664,1,0.0534,0.0,0.127,0.624,98.007,210267,4,0.6943838736250425,0.21927485145966358,0.0,1.0,0
331,DNA.,Kendrick Lamar,['Kendrick Lamar'],6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.00454,0.0,0.0842,0.42200000000000004,139.91299999999998,185947,4,0.6943838736250425,0.5189009087594112,0.09090909090909091,1.0,0
332,BOOMBAYAH,BLACKPINK,['BLACKPINK'],1dB06EmjB6NyftV1pxq6Qk,0.75,0.8690000000000001,5,-2.2359999999999998,0,0.0263,2.66e-06,0.221,0.494,124.95100000000001,241640,4,0.9089499442748462,0.4119232666719101,0.4545454545454546,1.0,1
333,倒帶,Jolin Tsai,['Jolin Tsai'],5VQ3tkSUhfX4w5g5bj0Blv,0.56,0.59,5,-6.365,1,0.113,0.0,0.125,0.384,130.389,262400,4,0.7088724136260116,0.45080472755092565,0.4545454545454546,1.0,4
334,"You, Who?",Eric Nam,"['Eric Nam', 'Jeon So Mi']",5WLLVrfFNbseupmtv0p2B1,0.47700000000000004,0.8,0,-3.267,1,0.226,0.0,0.106,0.675,96.04,219330,4,0.8589911324320396,0.20521088795303916,0.0,1.0,0
335,櫻花粉的浪漫,二珂,['二珂'],6s7n9GHNap3Ewq9lSfkbsR,0.759,0.5529999999999999,8,-8.024,1,0.426,6.78e-05,0.10800000000000001,0.433,94.04,201004,4,0.6284828221156176,0.19091097589749834,0.7272727272727273,1.0,4
336,愛的城堡,卓文萱,['卓文萱'],1yvZDAtctgkFBQm7IKI3X6,0.747,0.695,6,-7.784,1,0.647,4.9000000000000005e-06,0.0787,0.8740000000000001,106.021,187871,4,0.6401124194408102,0.2765745990662158,0.5454545454545454,1.0,4
337,唯獨你是不可取替,Sammi Cheng,['Sammi Cheng'],2KgOx8Sdw9WgiMDRvdidvx,0.249,0.26899999999999996,2,-10.273,1,0.855,6.86e-06,0.21899999999999997,0.174,138.946,245653,3,0.5195038038474584,0.5119869012805571,0.18181818181818182,0.6666666666666667,2
338,戀愛ing,Mayday,['Mayday'],4njcD0QuUSSKUL1cAYxevt,0.662,0.5489999999999999,0,-3.7910000000000004,1,0.10099999999999999,0.0,0.168,0.858,98.523,169348,4,0.8335998449387023,0.22296422876999306,0.0,1.0,0
339,非酋,薛明媛,"['薛明媛', '朱贺']",6PPqL3Oj5qzpTN8xG19W2z,0.785,0.687,0,-6.735,1,0.358,0.0,0.065,0.547,100.01299999999999,172200,4,0.6909434510830063,0.23361766325137096,0.0,1.0,0
340,妮妮,Nico & Kim,"['Nico & Kim', '林京燁']",5Gq33bYcS7uGKKW3ctedfG,0.589,0.4,8,-10.007,1,0.76,0.0,0.191,0.47,120.038,234207,4,0.5323932742162136,0.37679553270747385,0.7272727272727273,1.0,2
