title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
半生緣(我們在這裡相遇),Karen Mok,['Karen Mok'],2NdGm9fx5zCHgOghmbAGkU,0.232,0.261,9,-9.563,1,0.667,0.000111,0.103,0.102,139.943,280158,4
君と春 - 1st Demo Version,Chippoke Ohashi,['Chippoke Ohashi'],3psJQotH56DEVegvyy0xcR,0.583,0.136,11,-14.618,1,0.795,0.0,0.0623,0.226,170.068,249613,4
Common,iri,['iri'],3LfF5uGg51x64RBUslzjLG,0.747,0.671,8,-7.358,1,0.348,2.93e-05,0.33,0.787,88.006,187067,4
Nada Sousou,Hiroaki Kato,"['Hiroaki Kato', 'Arina Mocca']",3ZdzllGVt1TI4GkQgoHmu2,0.73,0.138,4,-13.458,1,0.857,8.98e-05,0.128,0.415,134.108,263486,4
Alright,Kendrick Lamar,['Kendrick Lamar'],3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.0742,0.0,0.0827,0.558,110.034,219333,4
24/7 (feat. Ella Mai),Meek Mill,"['Meek Mill', 'Ella Mai']",6irE4Fbjbry3czv7mTxVSB,0.657,0.711,0,-5.355,1,0.0135,0.0,0.221,0.368,86.957,221522,4
CHAMPAGNE ROSÉ (feat. Madonna & Cardi B),Quavo,"['Quavo', 'Madonna', 'Cardi B']",2i4WKnGYntsN4jEvDjkKBE,0.86,0.681,2,-7.016,0,0.0372,2.51e-06,0.0749,0.846,153.993,246741,4
Don't You,G5SH,['G5SH'],6dOtW0CfQOGr3Y5OZVsNlb,0.693,0.703,7,-5.516,1,0.00215,0.000117,0.209,0.497,130.069,157075,4
If You Wanna,Perfume,['Perfume'],7Gk4yhNhOQ35ukXdmW4zWl,0.567,0.806,9,-2.04,1,0.293,0.195,0.242,0.724,149.976,163584,4
Get What You Give,Felix Cartal,['Felix Cartal'],0DTtMH8wB4UiRCjk6NgWl5,0.626,0.748,1,-5.899,1,0.0143,0.0,0.123,0.223,121.067,219174,4
凹造型,Ty.,['Ty.'],1wcDO85sfVea2Y0ByLyDNb,0.812,0.625,3,-6.13,0,0.53,1.52e-06,0.152,0.681,120.008,199982,4
捉迷藏,Waa Wei,['Waa Wei'],2yB1vUpP3Ts9u8K2nYlO8d,0.524,0.463,3,-7.951,1,0.106,0.0,0.112,0.169,179.955,288493,4
In My Feelings,Drake,['Drake'],0bAkKNCQfWkexHFn7fIKns,0.735,0.482,8,-9.445,1,0.00623,0.0144,0.448,0.315,181.995,217933,4
Black Beatles,Rae Sremmurd,"['Rae Sremmurd', 'Gucci Mane']",6fujklziTHa8uoM5OQSfIo,0.794,0.632,0,-6.163,1,0.142,0.0,0.128,0.355,145.926,291893,4
Okay (Spuds Remix),Talitha.,"['Talitha.', 'Spuds']",0BhXMvfBpUOzjzUFji3uCj,0.605,0.679,8,-7.576,0,0.0693,0.000259,0.467,0.339,75.929,234998,4
Havana (feat. Young Thug),Camila Cabello,"['Camila Cabello', 'Young Thug']",1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.184,3.56e-05,0.132,0.394,104.988,217307,4
Friends (with BloodPop®),Justin Bieber,"['Justin Bieber', 'BloodPop®']",7iNIg7XDEaYECfWD5dJ9Va,0.743,0.735,8,-5.337,1,0.00389,0.0,0.304,0.631,104.979,189467,4
Daylight,IMLAY,"['IMLAY', 'Laura Brehm']",6OEnEzls4jVZgsJFuVvhHa,0.599,0.527,1,-7.112,1,0.0537,0.0,0.143,0.292,138.083,200862,4
Chung Ta Khong Thuoc Ve Nhau,Sơn Tùng M-TP,['Sơn Tùng M-TP'],6JmlinidjjjVLwmcktY7Ff,0.755,0.827,9,-4.678,0,0.262,0.000188,0.159,0.538,102.981,233029,4
TOKYO GIRL,Perfume,['Perfume'],12yPEG7j9CDKzC0yyeukRS,0.728,0.912,2,-3.074,1,0.282,0.385,0.0807,0.678,127.973,267240,4
Tell Me How,Mømøs,['Mømøs'],17YtfOkeRJeOhs2l4qBmT8,0.653,0.601,7,-7.255,1,0.133,0.0,0.1,0.089,103.978,198531,4
BBoom BBoom,MOMOLAND,['MOMOLAND'],3BPoSr2pO34Aan6alFfVto,0.785,0.744,3,-4.249,0,0.0149,0.00666,0.0661,0.833,126.018,208863,4
Young Dumb & Broke,Khalid,['Khalid'],5Z3GHaZ6ec9bsiI5BenrbY,0.798,0.539,1,-6.351,1,0.199,1.66e-05,0.165,0.394,136.949,202547,4
誰愛誰 (feat. E.SO),Dizzy Dizzo,"['Dizzy Dizzo', 'E.SO']",35ymZmnw1b1rbXPssRn3MT,0.791,0.599,7,-7.626,1,0.409,8.13e-06,0.233,0.677,109.975,214907,4
Let Me Hold You (Turn Me On),Cheat Codes,"['Cheat Codes', 'Dante Klein']",3aLWuWKHaTV4Ok7LKvXRYn,0.681,0.774,1,-3.167,0,0.0992,0.0,0.35,0.267,102.924,162425,4
Some,BOL4,['BOL4'],3mmLyEhphJAaW7hyEXAD8l,0.659,0.799,1,-2.849,0,0.417,0.0,0.0562,0.782,103.99,181373,4
EGO-HOLIC戀我癖,Starr Chen,"['Starr Chen', 'Jolin Tsai']",1o1r3FCDXAoQEofBF1Ve8d,0.68,0.848,10,-4.535,0,0.271,0.0445,0.124,0.645,110.009,189869,4
Kataomoi,Aimer,['Aimer'],3yyygrZ3m9dHsqeDx0QaFU,0.623,0.534,1,-5.995,1,0.78,0.0,0.34,0.765,96.646,207867,4
SAD!,XXXTENTACION,['XXXTENTACION'],3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.258,0.00372,0.123,0.473,75.023,166606,4
The Day You Went Away,M2M,['M2M'],1rYYJVlUV2EcgehVUnwJvy,0.511,0.734,11,-6.789,0,0.0495,9.93e-06,0.299,0.801,188.216,222520,4
Save Me,DEAMN,['DEAMN'],3L7NSXggVPKAyRh6N5WHsY,0.723,0.934,2,-1.94,1,0.421,0.000895,0.0593,0.793,122.004,184918,4
開什麼玩笑,Erika,['Erika'],2GzWkqyJ6oydXEPBi3Jigs,0.611,0.856,11,-3.887,1,0.0666,1.87e-05,0.157,0.513,119.97,220347,4
Lucid Dreams,Juice WRLD,['Juice WRLD'],0s3nnoMeVWz3989MkNQiRf,0.511,0.566,6,-7.23,0,0.349,0.0,0.34,0.218,83.903,239836,4
You'll Never Know,J.Sheon,['J.Sheon'],1Fw89KWIgMZyEpjCUY3DT9,0.725,0.689,6,-5.183,0,0.281,0.0,0.0996,0.25,119.952,210739,4
피카부 Peek-A-Boo,Red Velvet,['Red Velvet'],42tFTth2jcF7iSo0RBjfJF,0.839,0.902,1,-3.612,0,0.0868,0.00257,0.272,0.639,114.953,189050,4
Ocean (feat. Khalid),Martin Garrix,"['Martin Garrix', 'Khalid']",3nc420PXjTdBV5TN0gCFkS,0.506,0.693,0,-7.265,0,0.584,9.58e-05,0.0891,0.221,139.912,216420,4
Umbrella (feat. Hyolyn & Gill Chang),Far East Movement,"['Far East Movement', 'Hyolyn', 'Gill Chang']",4vEbC6hqjxmgrsxbmmtYEs,0.381,0.704,9,-4.6,1,0.437,0.0001,0.338,0.719,90.014,246226,4
回憶那麼傷,Niko Sun,['Niko Sun'],0LTXne4eVpn3ldNf20439U,0.703,0.573,8,-6.74,1,0.536,0.0,0.0898,0.462,108.038,236471,4
Wolves,Selena Gomez,"['Selena Gomez', 'Marshmello']",0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,11,-4.614,0,0.124,0.0,0.204,0.306,124.987,197993,4
我們不一樣,Da Zhuang,['Da Zhuang'],6jIaM0E0zbelWAiL9s1Bg4,0.635,0.581,7,-7.05,0,0.647,0.0,0.126,0.492,139.963,270857,4
感動每一刻,Stefanie Sun,"['Stefanie Sun', 'Tanya Chua', 'JJ Lin', 'A-do']",5T1OJndUVSJB3UhTZEiQ5W,0.634,0.5,0,-7.948,1,0.368,0.0,0.136,0.419,119.909,275278,4
Mama,Jonas Blue,"['Jonas Blue', 'William Singe']",47OVNnZJzIkrsEiZ4n187p,0.737,0.792,11,-4.117,0,0.102,0.0,0.0532,0.543,104.012,184134,4
Unwritten,Natasha Bedingfield,['Natasha Bedingfield'],1D1nixOVWOxvNfWi0UD7VX,0.706,0.801,5,-6.333,1,0.00577,0.0,0.0822,0.63,100.013,259333,4
Without Her,Eric Chou,['Eric Chou'],3htLc9I7j91cYAFUd9wu4J,0.728,0.719,9,-7.127,0,0.375,0.000391,0.0852,0.166,110.01,216493,4
Blue,BOL4,['BOL4'],4rmCUodFiPbIIV9Vdof42A,0.796,0.577,2,-4.424,1,0.731,0.0,0.169,0.777,114.986,186213,4
Rookie,Red Velvet,['Red Velvet'],69xdFGM7SJkbDf77s0gJEl,0.683,0.938,8,-3.723,0,0.0888,0.0,0.331,0.868,164.1,197638,4
打個牌,G5SH,['G5SH'],0V6luheDNQz5KexcDWET0P,0.702,0.654,11,-6.175,0,0.0339,2.06e-06,0.0779,0.62,120.985,214215,4
我不浪漫,Kimberley Chen,['Kimberley Chen'],60K4pIh2MiKveSXxgG4ouq,0.655,0.75,2,-3.234,0,0.0335,0.0,0.127,0.593,87.0,250378,4
Hell Nos And Headphones,Hailee Steinfeld,['Hailee Steinfeld'],4ToeppjiHi7kGMAVUvosv0,0.706,0.562,10,-6.867,1,0.0131,0.0,0.0974,0.492,102.977,230933,4
僕はロボットごしの君に恋をする,THE SxPLAY,['THE SxPLAY'],39Gho28UEGPOmhPuFCNgWS,0.709,0.677,9,-3.677,1,0.774,0.0,0.155,0.375,109.976,290293,4
Wings,Jasmine Tingchu,['Jasmine Tingchu'],30Nvg6VDoVwdvjCnB5mM7v,0.263,0.61,6,-5.563,1,0.245,1.18e-05,0.101,0.361,187.699,230973,4
